model,layer_index,layer_ordinal,relative_depth,estimator,raw_or_pc,partition_idx,group_a,group_b,is_canonical_wei,S_group_a,S_group_b,S_between,delta_group_a,delta_group_b,T,rank
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,0,persona_roleplay|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|payload_splitting,True,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,1,encoding_obfuscation|prefix_injection|refusal_suppression,distractors_negated|payload_splitting|persona_roleplay,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,2,payload_splitting|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|persona_roleplay,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,3,distractors_negated|prefix_injection|refusal_suppression,encoding_obfuscation|payload_splitting|persona_roleplay,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,4,encoding_obfuscation|persona_roleplay|prefix_injection,distractors_negated|payload_splitting|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,5,payload_splitting|persona_roleplay|prefix_injection,distractors_negated|encoding_obfuscation|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,6,distractors_negated|persona_roleplay|prefix_injection,encoding_obfuscation|payload_splitting|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,7,encoding_obfuscation|payload_splitting|prefix_injection,distractors_negated|persona_roleplay|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,8,distractors_negated|encoding_obfuscation|prefix_injection,payload_splitting|persona_roleplay|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,mean,raw,9,distractors_negated|payload_splitting|prefix_injection,encoding_obfuscation|persona_roleplay|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,0,persona_roleplay|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|payload_splitting,True,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,1,encoding_obfuscation|prefix_injection|refusal_suppression,distractors_negated|payload_splitting|persona_roleplay,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,2,payload_splitting|prefix_injection|refusal_suppression,distractors_negated|encoding_obfuscation|persona_roleplay,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,3,distractors_negated|prefix_injection|refusal_suppression,encoding_obfuscation|payload_splitting|persona_roleplay,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,4,encoding_obfuscation|persona_roleplay|prefix_injection,distractors_negated|payload_splitting|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,5,payload_splitting|persona_roleplay|prefix_injection,distractors_negated|encoding_obfuscation|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,6,distractors_negated|persona_roleplay|prefix_injection,encoding_obfuscation|payload_splitting|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
Qwen2.5-7B-Instruct,0,1,0.0,mean,placebo_calibrated,7,encoding_obfuscation|payload_splitting|prefix_injection,distractors_negated|persona_roleplay|refusal_suppression,False,0.0,0.0,0.0,0.0,0.0,0.0,1
